Observation,Treated,Age,Education (years),Black,Hispanic,Married,Real income Before ($),Real income After ($)
633,1,27,8,1,0,0,0,0
634,1,27,9,1,0,1,934.4454,1773.423
635,1,27,9,1,0,0,0,0
636,1,27,9,1,0,0,2294.605,2018.556
637,1,27,10,1,0,0,3213.322,2094.119
638,1,27,10,0,1,0,421.3024,3075.862
639,1,27,10,0,1,0,0,11142.87
640,1,27,10,1,0,0,3550.075,0
641,1,27,10,1,0,1,0,18739.93
642,1,27,11,1,0,0,2483.852,0
643,1,27,11,1,0,0,0,549.2984
644,1,27,11,1,0,0,0,7506.146
645,1,27,11,1,0,1,2142.217,2186.189
646,1,27,11,1,0,0,0,0
647,1,27,11,1,0,0,14223.5,7661.973
648,1,27,11,1,0,0,2666.274,0
649,1,27,12,1,0,0,357.9499,22163.25
650,1,27,12,1,0,0,4310.455,0
651,1,27,12,1,0,1,334.0493,0
652,1,27,12,1,0,1,7806.387,2777.585
653,1,27,13,1,0,0,0,14581.86
654,1,27,13,1,0,0,0,34099.28
655,1,27,13,1,0,0,0,0
656,1,27,13,0,0,1,853.7225,0
657,1,28,8,1,0,0,0,0
658,1,28,8,1,0,0,1182.786,7779.263
659,1,28,9,1,0,0,0,10694.29
660,1,28,10,1,0,0,2836.506,3196.571
661,1,28,11,1,0,0,6871.856,0
662,1,28,11,1,0,0,1284.079,60307.93
663,1,28,11,1,0,1,6952.58,7318.186
664,1,28,15,1,0,0,0,9598.541
665,1,29,4,1,0,0,0,762.9146
666,1,29,8,1,0,0,0,1923.938
667,1,29,10,1,0,1,4923.263,130.6791
668,1,29,10,0,1,0,8853.674,5112.014
669,1,29,10,1,0,0,4398.95,0
670,1,29,11,1,0,1,0,9642.999
671,1,29,12,1,0,0,4878.937,10976.51
672,1,29,12,1,0,0,1817.284,0
673,1,29,13,1,0,0,0,7479.656
674,1,29,14,1,0,0,679.6734,17814.98
675,1,30,10,1,0,0,2615.817,0
676,1,30,11,1,0,0,0,0
677,1,30,11,1,0,1,0,590.7818
678,1,30,11,1,0,0,1913.034,0
679,1,30,12,1,0,0,0,24909.45
680,1,31,4,1,0,0,4023.211,7382.549
681,1,31,9,1,0,0,5517.841,9558.501
682,1,31,9,1,0,0,1698.607,10363.27
683,1,31,9,0,1,0,0,26817.6
684,1,31,11,1,0,1,0,14509.93
685,1,31,11,1,0,1,0,8087.487
686,1,31,12,0,0,0,2611.218,2484.549
687,1,31,13,0,0,0,5498.35,2329.867
688,1,32,10,1,0,0,2321.537,179.0217
689,1,32,11,1,0,0,0,8472.158
690,1,33,8,1,0,0,0,289.7899
691,1,33,11,1,0,1,25142.24,4181.942
692,1,33,11,1,0,0,7867.916,6281.433
693,1,33,12,1,0,1,10941.35,15952.6
694,1,33,12,0,0,1,0,12418.07
695,1,34,7,1,0,0,857.5195,0
696,1,34,11,0,1,0,4641.467,2877.682
697,1,35,8,1,0,1,17976.15,3786.628
698,1,35,9,1,0,1,13830.64,12803.97
699,1,35,10,1,0,0,0,4666.236
700,1,37,9,1,0,0,0,1067.506
701,1,37,11,1,0,1,0,9930.046
702,1,38,9,0,0,0,0,6408.95
703,1,38,11,1,0,0,0,0
704,1,38,12,0,0,0,0,4941.849
705,1,40,11,1,0,0,0,23005.6
706,1,40,12,1,0,0,0,10804.32
707,1,41,4,1,0,1,0,7284.986
708,1,41,9,1,0,1,7212.12,3154.72
709,1,41,9,1,0,1,5783.981,0
710,1,41,14,0,0,0,0,5149.501
711,1,42,9,1,0,1,3058.531,1294.409
712,1,42,12,1,0,0,0,2456.153
713,1,42,14,1,0,1,0,13167.52
714,1,42,14,1,0,0,0,20505.93
715,1,43,9,1,0,0,0,0
716,1,44,11,1,0,0,0,0
717,1,45,5,1,0,1,0,8546.715
718,1,46,8,1,0,1,0,3094.156
719,1,46,8,1,0,0,2594.723,0
720,1,46,13,1,0,0,0,647.2046
721,1,48,4,1,0,0,0,6551.592
722,1,49,8,0,0,1,7285.948,16717.12
